10 3879
458 he 26
459 nomination 3
460 visit 5
461 cooperation 2
462 basically 5
463 those 43
464 multiple 8
465 looks 7
466 response 10
467 country 53
468 grown 2
469 having 11
470 low 3
471 we 24
472 encouraged 1
473 brooks 2
474 daily 4
475 drug 4
476 computers 1
477 speak 3
478 credibility 2
479 start 6
480 history 26
481 competition 4
482 perjury 2
483 idea 14
484 legal 7
485 obama's 7
486 modern 6
487 easily 5
488 continues 4
489 fear 5
490 reproductive 1
491 individuals 9
492 anyone 20
493 decline 2
494 independent 5
495 like 64
496 private 11
497 nature 1
498 wrote 2
499 refer 1
500 christian 6
501 practically 2
502 down 15
503 party 28
504 comey 13
505 advice 4
506 how 37
507 cannot 13
508 while 23
509 iraq 6
510 abortion 6
511 home 13
512 reflection 1
513 medical 5
514 class 6
515 regard 2
516 anywhere 3
517 media 15
518 immigrants 12
519 financial 9
520 officials 9
521 confidence 2
522 so 18
523 back 17
524 subsidized 2
525 politicians 12
526 already 18
527 journalists 3
528 liar 7
529 regarding 7
530 explain 7
531 maybe 17
532 new 13
533 kid 1
534 repeatedly 6
535 making 17
536 border 3
537 price 2
538 atlantic 3
539 support 25
540 concerns 7
541 next 10
542 remember 17
543 hardly 3
544 point 16
545 front 3
546 pushing 2
547 election 26
548 block 1
549 address 4
550 xenophobia 2
551 years 42
552 unfortunately 17
553 graduate 3
554 find 10
555 offensive 2
556 into 25
557 criticized 1
558 transportation 2
559 matters 2
560 congratulations 2
561 extreme 4
562 violence 5
563 scientific 2
564 leading 3
565 subway 3
566 fresh 2
567 taxes 7
568 rare 2
569 crowd 4
570 definitely 7
571 blue 3
572 wealthy 8
573 dealings 1
574 economic 13
575 miserable 2
576 responding 1
577 suggestion 5
578 it's 33
579 ' 0
580 i'd 3
581 couldn't 5
582 said 17
583 thinking 10
584 travesty 2
585 wonder 12
586 friend 3
587 presidential 22
588 solutions 3
589 sick 5
590 trigger 1
591 public 19
592 quite 9
593 supreme 8
594 both 13
595 normally 2
596 leaders 5
597 cut 3
598 sounds 7
599 somehow 6
600 anxiety 1
601 first 27
602 abuse 4
603 many 43
604 dems 5
605 call 9
606 fox 2
607 headline 3
608 mention 7
609 order 5
610 bet 1
611 white 29
612 necessarily 2
613 tom 1
614 judicial 3
615 healthcare 12
616 alone 6
617 four 2
618 family 16
619 part 13
620 maintain 2
621 majority 16
622 mexicans 2
623 relationship 8
624 experts 5
625 posts 2
626 trump's 42
627 above 4
628 read 17
629 carnage 2
630 american 46
631 technical 1
632 building 3
633 over 27
634 immigration 21
635 airline 2
636 revolution 3
637 younger 1
638 thank 18
639 october 1
640 informative 3
641 help 3
642 glad 2
643 biggest 6
644 confederate 3
645 here's 5
646 using 8
647 himself 21
648 us 14
649 enjoyed 5
650 services 8
651 still 15
652 presumably 3
653 segment 2
654 question 18
655 small 8
656 ever 11
657 conservatives 9
658 give 12
659 she 9
660 continually 3
661 protect 6
662 impeachment 10
663 presidency 15
664 confirmation 2
665 work 19
666 agree 17
667 up 15
668 shut 2
669 make 26
670 against 29
671 never 19
672 brooklyn 2
673 justice 9
674 anger 2
675 actual 9
676 during 8
677 unfortunate 3
678 successful 6
679 writer 2
680 article 39
681 conservatism 4
682 especially 14
683 knew 5
684 trade 5
685 two 10
686 old 10
687 fan 2
688 muslims 5
689 sector 2
690 courage 2
691 infrastructure 13
692 individual 5
693 out 28
694 religious 7
695 guns 3
696 beginning 5
697 since 16
698 pregnancy 1
699 welcome 2
700 probably 12
701 net 2
702 sentence 6
703 personal 11
704 israeli 5
705 incorrect 1
706 feelings 1
707 unqualified 5
708 check 3
709 generation 2
710 encouraging 3
711 original 4
712 department 9
713 become 8
714 advance 3
715 certainly 18
716 disdain 1
717 provided 2
718 special 5
719 asking 6
720 hypocrisy 2
721 macron 2
722 lot 8
723 taking 7
724 hannity 4
725 decisions 4
726 coming 7
727 film 1
728 criminal 7
729 opportunities 4
730 particular 9
731 parents 9
732 candidate 11
733 school 13
734 understands 2
735 amazing 3
736 most 36
737 imagine 12
738 partisan 6
739 example 10
740 tv 2
741 christians 3
742 step 3
743 young 10
744 jersey 2
745 institutions 6
746 benefit 6
747 property 6
748 billions 6
749 asked 3
750 tough 2
751 corruption 7
752 included 3
753 isn't 14
754 author's 1
755 calling 9
756 freedom 10
757 walker 1
758 underlying 4
759 plenty 4
760 literally 10
761 by 33
762 likes 2
763 profitable 1
764 revealing 2
765 arguments 1
766 important 23
767 mouth 2
768 criticism 4
769 playing 5
770 conditions 2
771 took 5
772 personality 7
773 made 17
774 father 3
775 fears 1
776 indicate 2
777 dysfunctional 4
778 action 6
779 earlier 1
780 industries 2
781 clearly 13
782 now 23
783 community 7
784 secretary 3
785 jews 2
786 regulations 9
787 cronies 1
788 planet 5
789 politics 18
790 deaths 1
791 senate 9
792 dramatically 3
793 include 4
794 at 25
795 display 2
796 power 12
797 traditional 3
798 outrage 4
799 inflation 6
800 jobs 10
801 mining 1
802 shallow 1
803 direction 2
804 provides 3
805 obligation 2
806 global 5
807 backed 2
808 housing 3
809 socrates 2
810 concerned 8
811 precisely 3
